,Region,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Cost,Total Cost,Total Profit,year
443,Asia,Beverages,Offline,M,21-08-2015,879055869,14-09-2015,1021,31.79,32457.59,15988.86,2015
444,Europe,Baby Food,Online,L,03-04-2013,443551385,09-05-2013,5566,159.42,887331.72,533556.76,2013
445,Middle East and North Africa,Personal Care,Online,L,25-02-2013,334958827,28-02-2013,615,56.67,34852.05,15411.9,2013
446,Europe,Clothes,Offline,H,11-03-2014,508014523,20-03-2014,1642,35.84,58849.28,120588.48,2014
447,Europe,Office Supplies,Online,C,08-07-2012,987767302,01-08-2012,1150,524.96,603704,145187.5,2012
448,Central America and the Caribbean,Meat,Offline,L,28-11-2012,519578492,29-12-2012,3677,364.69,1340965.13,210324.4,2012
449,Middle East and North Africa,Snacks,Offline,M,06-06-2017,619121921,10-06-2017,789,97.44,76880.16,43505.46,2017
450,Middle East and North Africa,Baby Food,Offline,H,20-01-2014,622383916,18-02-2014,6086,159.42,970230.12,583403.96,2014
451,Asia,Clothes,Offline,L,05-10-2010,835663306,03-11-2010,197,35.84,7060.48,14467.68,2010
452,Middle East and North Africa,Personal Care,Online,C,03-08-2016,285571420,13-09-2016,5784,56.67,327779.28,144947.04,2016
453,Middle East and North Africa,Baby Food,Online,C,21-02-2015,769032084,03-04-2015,2538,159.42,404607.96,243292.68,2015
454,Sub-Saharan Africa,Vegetables,Offline,L,19-10-2013,103281629,05-11-2013,2184,90.93,198591.12,137875.92,2013
455,Central America and the Caribbean,Cereal,Online,L,24-03-2017,675868880,11-05-2017,3476,117.11,407074.36,307938.84,2017
456,Sub-Saharan Africa,Fruits,Offline,M,04-01-2016,894655168,26-01-2016,7200,6.92,49824,17352,2016
457,Sub-Saharan Africa,Fruits,Online,M,23-02-2013,137814319,14-03-2013,1174,6.92,8124.08,2829.34,2013
458,Europe,Baby Food,Offline,H,19-09-2012,103832662,20-10-2012,5247,159.42,836476.74,502977.42,2012
459,Middle East and North Africa,Personal Care,Offline,H,25-01-2016,761509025,03-03-2016,6298,56.67,356907.66,157827.88,2016
460,Sub-Saharan Africa,Beverages,Online,M,18-06-2010,799954736,21-07-2010,3238,31.79,102936.02,50707.08,2010
461,Asia,Snacks,Offline,L,29-09-2010,778593623,17-11-2010,2010,97.44,195854.4,110831.4,2010
462,Central America and the Caribbean,Cosmetics,Offline,M,06-02-2010,877162015,07-03-2010,588,263.33,154838.04,102235.56,2010
463,Europe,Personal Care,Online,H,19-02-2014,445708739,27-02-2014,3975,56.67,225263.25,99613.5,2014
464,Sub-Saharan Africa,Household,Offline,M,20-05-2014,254595124,21-06-2014,9210,502.54,4628393.4,1526373.3,2014
465,Sub-Saharan Africa,Baby Food,Online,H,16-10-2014,244494998,21-11-2014,358,159.42,57072.36,34317.88,2014
466,Sub-Saharan Africa,Cereal,Online,M,22-10-2012,876394689,09-11-2012,3519,117.11,412110.09,311748.21,2012
467,Central America and the Caribbean,Fruits,Online,L,24-09-2010,881593024,09-10-2010,1822,6.92,12608.24,4391.02,2010
468,Sub-Saharan Africa,Clothes,Online,C,01-12-2011,411701333,27-12-2011,428,35.84,15339.52,31432.32,2011
469,Asia,Baby Food,Online,M,02-01-2017,588643443,11-02-2017,1531,159.42,244072.02,146761.66,2017
470,Europe,Beverages,Offline,M,24-07-2012,354655683,31-07-2012,9353,31.79,297331.87,146467.98,2012
471,Asia,Clothes,Offline,L,16-09-2012,522286880,03-10-2012,5149,35.84,184540.16,378142.56,2012
472,Europe,Office Supplies,Offline,C,30-06-2017,624398362,24-07-2017,2206,524.96,1158061.76,278507.5,2017
473,Europe,Beverages,Online,C,05-09-2016,264163959,22-09-2016,840,31.79,26703.6,13154.4,2016
474,Sub-Saharan Africa,Beverages,Offline,M,21-03-2016,465069997,23-03-2016,3402,31.79,108149.58,53275.32,2016
475,Europe,Office Supplies,Offline,H,16-10-2011,520915305,07-11-2011,9270,524.96,4866379.2,1170337.5,2011
476,Australia and Oceania,Beverages,Offline,H,09-04-2015,245811212,11-05-2015,9855,31.79,313290.45,154329.3,2015
477,Europe,Cereal,Online,H,05-02-2013,424181544,04-03-2013,3600,117.11,421596,318924,2013
478,Europe,Office Supplies,Online,H,03-07-2015,560762631,16-07-2015,979,524.96,513935.84,123598.75,2015
479,Australia and Oceania,Office Supplies,Offline,H,02-11-2014,230603301,10-12-2014,9496,524.96,4985020.16,1198870,2014
480,Australia and Oceania,Vegetables,Online,H,06-02-2012,429064881,15-02-2012,8688,90.93,789999.84,548473.44,2012
481,Asia,Household,Offline,C,17-02-2013,421821200,15-03-2013,5122,502.54,2574009.88,848869.06,2013
482,Sub-Saharan Africa,Office Supplies,Online,C,10-04-2017,894858586,27-05-2017,7396,524.96,3882604.16,933745,2017
483,Asia,Beverages,Offline,C,27-07-2013,804475867,18-08-2013,1141,31.79,36272.39,17868.06,2013
484,Sub-Saharan Africa,Baby Food,Offline,M,05-11-2014,527284371,18-11-2014,4018,159.42,640549.56,385165.48,2014
485,Asia,Beverages,Offline,M,24-01-2016,510207927,15-02-2016,718,31.79,22825.22,11243.88,2016
486,Asia,Vegetables,Offline,C,31-03-2013,820482861,11-04-2013,7967,90.93,724439.31,502956.71,2013
487,Middle East and North Africa,Cosmetics,Online,M,05-11-2014,695658004,08-12-2014,9517,263.33,2506111.61,1654720.79,2014
488,Australia and Oceania,Cosmetics,Offline,H,25-03-2015,793594682,27-03-2015,1157,263.33,304672.81,201167.59,2015
489,Sub-Saharan Africa,Baby Food,Online,M,12-08-2013,942466723,04-09-2013,5702,159.42,909012.84,546593.72,2013
490,Sub-Saharan Africa,Fruits,Offline,L,15-04-2010,590760457,28-04-2010,8002,6.92,55373.84,19284.82,2010
491,Sub-Saharan Africa,Office Supplies,Offline,M,21-05-2010,157274711,17-06-2010,9937,524.96,5216527.52,1254546.25,2010
492,Sub-Saharan Africa,Beverages,Offline,L,14-07-2012,581120812,16-08-2012,5417,31.79,172206.43,84830.22,2012
493,Sub-Saharan Africa,Fruits,Offline,H,23-08-2012,171722590,30-09-2012,5385,6.92,37264.2,12977.85,2012
494,Europe,Office Supplies,Offline,L,04-04-2015,458816373,16-04-2015,2815,524.96,1477762.4,355393.75,2015
495,Asia,Beverages,Offline,H,16-08-2014,342450988,29-08-2014,7712,31.79,245164.48,120769.92,2014
496,Europe,Household,Offline,L,18-08-2013,142987763,01-09-2013,2112,502.54,1061364.48,350021.76,2013
497,Middle East and North Africa,Clothes,Offline,L,12-06-2012,251100528,05-07-2012,5081,35.84,182103.04,373148.64,2012
498,Middle East and North Africa,Cosmetics,Online,L,20-04-2012,677775609,05-05-2012,7719,263.33,2032644.27,1342102.53,2012
499,Sub-Saharan Africa,Snacks,Offline,M,15-09-2011,604311835,04-11-2011,8156,97.44,794720.64,449721.84,2011
500,Sub-Saharan Africa,Office Supplies,Online,H,26-03-2010,632320535,28-03-2010,6553,524.96,3440062.88,827316.25,2010
501,Central America and the Caribbean,Snacks,Online,L,23-04-2012,533725535,30-05-2012,101,97.44,9841.44,5569.14,2012
502,Sub-Saharan Africa,Personal Care,Online,L,09-11-2015,600763165,08-12-2015,8026,56.67,454833.42,201131.56,2015
503,Australia and Oceania,Vegetables,Offline,L,24-01-2016,295982253,08-03-2016,6581,90.93,598410.33,415458.53,2016
504,Sub-Saharan Africa,Meat,Offline,M,10-10-2016,502244126,17-10-2016,4053,364.69,1478088.57,231831.6,2016
505,Middle East and North Africa,Personal Care,Offline,L,11-07-2011,372722613,18-08-2011,5759,56.67,326362.53,144320.54,2011
506,Europe,Snacks,Offline,C,23-01-2010,480904042,05-02-2010,9048,97.44,881637.12,498906.72,2010
507,Middle East and North Africa,Household,Offline,L,06-11-2011,570587241,08-11-2011,8299,502.54,4170579.46,1375393.27,2011
508,Asia,Cereal,Offline,H,27-05-2017,905883538,02-07-2017,9925,117.11,1162316.75,879255.75,2017
509,Central America and the Caribbean,Vegetables,Offline,L,13-12-2016,921216762,14-01-2017,7366,90.93,669790.38,465015.58,2016
510,Europe,Vegetables,Online,M,07-12-2016,571323239,01-01-2017,6097,90.93,554400.21,384903.61,2016
511,Sub-Saharan Africa,Cosmetics,Online,M,28-06-2013,781251800,02-08-2013,8623,263.33,2270694.59,1499281.01,2013
512,Asia,Meat,Offline,C,29-05-2011,296363770,13-07-2011,9480,364.69,3457261.2,542256,2011
513,Middle East and North Africa,Vegetables,Online,H,26-09-2012,632332980,25-10-2012,236,90.93,21459.48,14898.68,2012
514,Middle East and North Africa,Cosmetics,Offline,H,14-01-2013,225145757,05-02-2013,4487,263.33,1181561.71,780154.69,2013
515,Europe,Snacks,Online,H,16-09-2012,281100928,03-11-2012,2866,97.44,279263.04,158031.24,2012
516,Middle East and North Africa,Snacks,Online,H,22-03-2013,726809823,05-05-2013,8033,97.44,782735.52,442939.62,2013
517,Europe,Household,Online,L,26-04-2013,659196269,01-06-2013,9680,502.54,4864587.2,1604266.4,2013
518,Europe,Personal Care,Offline,H,24-10-2012,595496594,04-11-2012,9530,56.67,540065.1,238821.8,2012
519,Middle East and North Africa,Cosmetics,Offline,C,14-05-2016,223259627,03-07-2016,6340,263.33,1669512.2,1102335.8,2016
520,Sub-Saharan Africa,Vegetables,Online,H,25-07-2014,650346696,03-09-2014,894,90.93,81291.42,56438.22,2014
521,Europe,Personal Care,Offline,H,30-05-2010,354931628,08-06-2010,1011,56.67,57293.37,25335.66,2010
522,Middle East and North Africa,Snacks,Online,M,19-07-2015,135500752,21-07-2015,6539,97.44,637160.16,360560.46,2015
523,Central America and the Caribbean,Cereal,Online,H,07-03-2016,860852897,25-04-2016,4357,117.11,510248.27,385986.63,2016
524,Middle East and North Africa,Vegetables,Offline,H,23-09-2014,320099389,02-11-2014,3377,90.93,307070.61,213190.01,2014
525,Sub-Saharan Africa,Office Supplies,Offline,M,16-11-2010,872664058,25-11-2010,9542,524.96,5009168.32,1204677.5,2010
526,Asia,Cereal,Offline,H,16-12-2012,898283231,18-12-2012,825,117.11,96615.75,73086.75,2012
527,Asia,Cereal,Online,L,11-06-2011,647005736,12-06-2011,2230,117.11,261155.3,197555.7,2011
528,Australia and Oceania,Beverages,Online,C,30-12-2012,889192903,01-01-2013,795,31.79,25273.05,12449.7,2012
529,Asia,Fruits,Online,L,02-01-2014,665518558,14-02-2014,585,6.92,4048.2,1409.85,2014
530,Europe,Meat,Offline,C,29-11-2011,436969029,17-12-2011,7701,364.69,2808477.69,440497.2,2011
531,Asia,Cosmetics,Online,H,01-08-2016,734843146,17-08-2016,5272,263.33,1388275.76,916642.64,2016
532,Europe,Vegetables,Online,L,28-03-2016,810752236,04-05-2016,8458,90.93,769085.94,533953.54,2016
533,Europe,Office Supplies,Offline,C,08-07-2011,886620128,25-07-2011,9453,524.96,4962446.88,1193441.25,2011
534,Sub-Saharan Africa,Meat,Online,M,11-09-2011,804683148,19-09-2011,2480,364.69,904431.2,141856,2011
535,Australia and Oceania,Household,Online,L,02-10-2015,477490127,03-10-2015,8794,502.54,4419336.76,1457429.62,2015
536,Australia and Oceania,Snacks,Online,H,03-03-2016,337902390,21-04-2016,1681,97.44,163796.64,92690.34,2016
537,Europe,Cereal,Offline,M,10-04-2010,889093768,20-05-2010,1458,117.11,170746.38,129164.22,2010
538,Europe,Cereal,Online,C,06-08-2011,454550588,06-09-2011,475,117.11,55627.25,42080.25,2011
539,Asia,Clothes,Offline,H,24-10-2015,128071677,07-11-2015,8110,35.84,290662.4,595598.4,2015
540,Asia,Personal Care,Online,M,30-01-2012,623768365,16-03-2012,5776,56.67,327325.92,144746.56,2012
541,Europe,Office Supplies,Online,L,18-02-2017,926064479,10-03-2017,1913,524.96,1004248.48,241516.25,2017
542,Sub-Saharan Africa,Personal Care,Online,H,28-11-2010,539696347,11-01-2011,6997,56.67,396519.99,175344.82,2010
543,Australia and Oceania,Household,Offline,L,18-01-2016,839712798,31-01-2016,8532,502.54,4287671.28,1414008.36,2016
544,Asia,Beverages,Offline,C,31-10-2010,121475160,08-12-2010,6054,31.79,192456.66,94805.64,2010
545,Central America and the Caribbean,Clothes,Online,H,01-04-2016,350657260,15-04-2016,6130,35.84,219699.2,450187.2,2016
546,Europe,Fruits,Offline,C,29-06-2016,413245427,02-07-2016,7360,6.92,50931.2,17737.6,2016
547,Sub-Saharan Africa,Household,Offline,M,03-10-2015,165538489,08-10-2015,5372,502.54,2699644.88,890301.56,2015
548,Europe,Beverages,Online,H,18-09-2011,884147775,19-10-2011,7829,31.79,248883.91,122602.14,2011
549,Sub-Saharan Africa,Cosmetics,Online,C,24-06-2014,315997111,25-07-2014,9422,263.33,2481095.26,1638203.14,2014
550,Europe,Cosmetics,Online,C,30-06-2012,328322827,19-07-2012,6876,263.33,1810657.08,1195530.12,2012
551,Europe,Snacks,Online,H,22-03-2014,158673751,10-05-2014,3944,97.44,384303.36,217472.16,2014
552,Europe,Snacks,Offline,L,07-01-2014,464911210,10-02-2014,6413,97.44,624882.72,353612.82,2014
553,Asia,Baby Food,Online,L,10-02-2011,175209033,10-03-2011,7101,159.42,1132041.42,680701.86,2011
554,Middle East and North Africa,Household,Online,L,09-05-2013,538053548,27-06-2013,856,502.54,430174.24,141864.88,2013
555,Sub-Saharan Africa,Personal Care,Online,H,26-09-2010,172243583,27-09-2010,9559,56.67,541708.53,239548.54,2010
556,Central America and the Caribbean,Baby Food,Offline,H,13-01-2017,916890466,16-01-2017,7119,159.42,1134910.98,682427.34,2017
557,Asia,Office Supplies,Online,M,04-01-2013,181418025,17-01-2013,4480,524.96,2351820.8,565600,2013
558,Europe,Beverages,Online,C,12-10-2010,395562589,01-12-2010,4615,31.79,146710.85,72270.9,2010
559,Europe,Baby Food,Offline,H,01-03-2012,459372985,22-03-2012,7529,159.42,1200273.18,721729.94,2012
560,Europe,Meat,Online,L,25-06-2012,693210542,13-08-2012,5259,364.69,1917904.71,300814.8,2012
561,Asia,Personal Care,Offline,L,24-11-2011,587749087,07-01-2012,6871,56.67,389379.57,172187.26,2011
562,Europe,Fruits,Offline,L,22-08-2011,153974950,20-09-2011,3464,6.92,23970.88,8348.24,2011
563,Sub-Saharan Africa,Vegetables,Online,L,23-03-2010,373186957,07-04-2010,3169,90.93,288157.17,200058.97,2010
564,Australia and Oceania,Personal Care,Offline,M,17-10-2014,946996438,13-11-2014,6145,56.67,348237.15,153993.7,2014
565,Europe,Snacks,Online,H,18-08-2014,747327220,15-09-2014,9587,97.44,934157.28,528627.18,2014
566,Sub-Saharan Africa,Household,Offline,H,23-03-2015,966415631,07-05-2015,2716,502.54,1364898.64,450122.68,2015
567,Europe,Clothes,Online,M,10-10-2011,166810500,21-11-2011,1789,35.84,64117.76,131384.16,2011
568,Australia and Oceania,Meat,Offline,H,08-09-2015,131373155,24-10-2015,5091,364.69,1856636.79,291205.2,2015
569,Sub-Saharan Africa,Vegetables,Online,L,04-12-2012,913277423,28-12-2012,7939,90.93,721893.27,501189.07,2012
570,Europe,Personal Care,Offline,M,31-03-2013,386009633,05-04-2013,7683,56.67,435395.61,192535.98,2013
571,Europe,Personal Care,Offline,H,08-02-2016,993368613,16-02-2016,8702,56.67,493142.34,218072.12,2016
572,Sub-Saharan Africa,Office Supplies,Offline,H,13-06-2014,299465692,26-06-2014,7408,524.96,3888903.68,935260,2014
573,Middle East and North Africa,Vegetables,Offline,L,26-08-2013,438724696,05-10-2013,7242,90.93,658515.06,457187.46,2013
574,Asia,Cosmetics,Offline,H,29-07-2012,465881955,17-08-2012,3678,263.33,968527.74,639493.86,2012
575,Europe,Baby Food,Online,L,09-12-2014,405986297,02-01-2015,9222,159.42,1470171.24,884020.92,2014
576,Sub-Saharan Africa,Household,Online,M,17-05-2010,804399049,23-06-2010,8409,502.54,4225858.86,1393623.57,2010
577,Europe,Beverages,Online,H,04-02-2016,476794040,07-03-2016,2807,31.79,89234.53,43957.62,2016
578,Middle East and North Africa,Personal Care,Offline,L,30-06-2012,559157598,12-08-2012,6014,56.67,340813.38,150710.84,2012
579,Sub-Saharan Africa,Cosmetics,Online,H,18-02-2015,457788550,04-04-2015,8660,263.33,2280437.8,1505714.2,2015
580,Middle East and North Africa,Vegetables,Online,L,30-04-2010,999298226,25-05-2010,3407,90.93,309798.51,215083.91,2010
581,Europe,Meat,Offline,C,21-12-2011,380610454,29-12-2011,9946,364.69,3627206.74,568911.2,2011
582,Asia,Baby Food,Online,C,19-04-2012,918961560,24-05-2012,2,159.42,318.84,191.72,2012
583,Sub-Saharan Africa,Office Supplies,Online,H,25-12-2015,501900374,24-01-2016,2329,524.96,1222631.84,294036.25,2015
584,Sub-Saharan Africa,Household,Online,M,05-08-2013,237288224,09-09-2013,7713,502.54,3876091.02,1278275.49,2013
585,Asia,Cosmetics,Online,C,19-09-2015,403298938,17-10-2015,3973,263.33,1046210.09,690785.51,2015
586,Asia,Snacks,Offline,H,12-04-2011,898418843,14-04-2011,955,97.44,93055.2,52658.7,2011
587,Asia,Snacks,Offline,L,08-10-2016,791446769,13-11-2016,5541,97.44,539915.04,305530.74,2016
588,Central America and the Caribbean,Beverages,Offline,M,22-11-2011,571494042,16-12-2011,6642,31.79,211149.18,104013.72,2011
589,Central America and the Caribbean,Cosmetics,Offline,M,25-06-2011,797984492,13-08-2011,199,263.33,52402.67,34600.13,2011
590,Central America and the Caribbean,Cosmetics,Offline,C,16-04-2016,750654447,19-04-2016,4187,263.33,1102562.71,727993.69,2016
591,Sub-Saharan Africa,Clothes,Offline,L,17-10-2016,679552733,08-11-2016,3610,35.84,129382.4,265118.4,2016
592,Europe,Vegetables,Offline,L,01-02-2012,455040681,02-02-2012,5504,90.93,500478.72,347467.52,2012
593,Europe,Clothes,Online,M,10-09-2013,917792117,07-10-2013,3938,35.84,141137.92,289206.72,2013
594,Europe,Cosmetics,Offline,L,27-06-2011,728793370,12-08-2011,5009,263.33,1319019.97,870914.83,2011
595,Sub-Saharan Africa,Fruits,Offline,C,04-05-2015,419343268,19-06-2015,1847,6.92,12781.24,4451.27,2015
596,Middle East and North Africa,Cereal,Online,M,18-06-2013,141053140,13-07-2013,9613,117.11,1125778.43,851615.67,2013
597,Sub-Saharan Africa,Cereal,Online,C,27-01-2014,115846812,18-02-2014,501,117.11,58672.11,44383.59,2014
598,Europe,Fruits,Offline,M,20-04-2011,185960614,28-05-2011,8733,6.92,60432.36,21046.53,2011
599,Sub-Saharan Africa,Household,Offline,C,12-09-2011,263943374,25-09-2011,5565,502.54,2796635.1,922287.45,2011
600,Sub-Saharan Africa,Office Supplies,Offline,M,26-04-2015,782656419,26-04-2015,4282,524.96,2247878.72,540602.5,2015
601,Europe,Office Supplies,Offline,H,29-11-2011,445273578,09-01-2012,5201,524.96,2730316.96,656626.25,2011
602,Asia,Office Supplies,Online,C,07-01-2015,275281178,14-02-2015,673,524.96,353298.08,84966.25,2015
603,Sub-Saharan Africa,Fruits,Online,M,24-09-2012,466478049,29-10-2012,76,6.92,525.92,183.16,2012
604,Middle East and North Africa,Meat,Offline,H,08-12-2016,832975518,15-01-2017,4821,364.69,1758170.49,275761.2,2016
605,Europe,Baby Food,Online,L,26-01-2014,359197413,08-03-2014,3352,159.42,534375.84,321322.72,2014
606,Middle East and North Africa,Baby Food,Online,M,11-05-2014,349880063,12-05-2014,6141,159.42,978998.22,588676.26,2014
607,Asia,Cosmetics,Online,M,27-02-2010,380072295,15-03-2010,693,263.33,182487.69,120491.91,2010
608,Middle East and North Africa,Household,Online,C,14-01-2010,545135438,27-02-2010,6545,502.54,3289124.3,1084702.85,2010
609,Middle East and North Africa,Baby Food,Offline,C,08-04-2012,110743319,09-05-2012,264,159.42,42086.88,25307.04,2012
610,Sub-Saharan Africa,Cosmetics,Offline,C,09-03-2016,662882268,17-04-2016,449,263.33,118235.17,78067.63,2016
611,Sub-Saharan Africa,Meat,Offline,C,04-11-2010,257851111,20-11-2010,2729,364.69,995239.01,156098.8,2010
612,Sub-Saharan Africa,Baby Food,Offline,M,18-08-2016,172261178,13-09-2016,4765,159.42,759636.3,456772.9,2016
613,Europe,Personal Care,Offline,L,14-05-2013,853036296,01-06-2013,1251,56.67,70894.17,31350.06,2013
614,Europe,Fruits,Offline,M,21-03-2012,567412793,27-03-2012,8910,6.92,61657.2,21473.1,2012
615,North America,Clothes,Offline,H,26-01-2014,352939498,10-03-2014,1495,35.84,53580.8,109792.8,2014
616,Sub-Saharan Africa,Clothes,Online,M,14-04-2013,867477738,27-05-2013,4795,35.84,171852.8,352144.8,2013
617,Europe,Cosmetics,Offline,H,27-08-2016,139201343,06-09-2016,1625,263.33,427911.25,282538.75,2016
618,Central America and the Caribbean,Fruits,Offline,C,22-11-2016,316596639,04-12-2016,6836,6.92,47305.12,16474.76,2016
619,Sub-Saharan Africa,Beverages,Online,H,25-07-2011,918462455,28-07-2011,2305,31.79,73275.95,36096.3,2011
620,Europe,Cosmetics,Online,C,09-06-2014,183910119,11-06-2014,1946,263.33,512440.18,338351.02,2014
621,Europe,Clothes,Online,H,07-11-2013,922363460,23-11-2013,6700,35.84,240128,492048,2013
622,Central America and the Caribbean,Household,Online,M,08-05-2014,163558804,22-05-2014,9540,502.54,4794231.6,1581064.2,2014
623,Sub-Saharan Africa,Fruits,Offline,L,07-03-2010,407544982,12-03-2010,472,6.92,3266.24,1137.52,2010
624,Middle East and North Africa,Meat,Online,H,22-10-2011,174683320,03-11-2011,1531,364.69,558340.39,87573.2,2011
625,Australia and Oceania,Household,Offline,H,27-10-2011,755647647,09-12-2011,1786,502.54,897536.44,295993.78,2011
626,Sub-Saharan Africa,Meat,Online,H,15-06-2011,361424291,05-07-2011,2334,364.69,851186.46,133504.8,2011
627,Sub-Saharan Africa,Baby Food,Online,H,14-10-2016,873312079,22-10-2016,1306,159.42,208202.52,125193.16,2016
628,Europe,Beverages,Offline,C,02-04-2012,192922341,01-05-2012,8863,31.79,281754.77,138794.58,2012
629,Europe,Cereal,Online,L,03-06-2017,792178905,21-07-2017,2197,117.11,257290.67,194632.23,2017
630,Sub-Saharan Africa,Baby Food,Online,C,24-01-2015,263318097,04-03-2015,531,159.42,84652.02,50901.66,2015
631,Sub-Saharan Africa,Office Supplies,Online,H,12-07-2015,768888747,29-07-2015,122,524.96,64045.12,15402.5,2015
632,Middle East and North Africa,Household,Offline,H,25-01-2015,491752183,06-02-2015,9254,502.54,4650505.16,1533665.42,2015
633,Middle East and North Africa,Fruits,Offline,H,20-10-2014,385082232,28-11-2014,3245,6.92,22455.4,7820.45,2014
634,Central America and the Caribbean,Meat,Offline,C,26-11-2016,122365224,22-12-2016,9444,364.69,3444132.36,540196.8,2016
635,Central America and the Caribbean,Household,Online,H,06-04-2013,347399985,19-05-2013,2231,502.54,1121166.74,369743.63,2013
636,Europe,Beverages,Online,M,20-12-2011,424297845,08-01-2012,8016,31.79,254828.64,125530.56,2011
637,Sub-Saharan Africa,Office Supplies,Offline,M,28-10-2010,687482631,21-11-2010,243,524.96,127565.28,30678.75,2010
638,Australia and Oceania,Cosmetics,Offline,H,06-04-2016,191690671,18-05-2016,4384,263.33,1154438.72,762246.08,2016
639,Australia and Oceania,Cereal,Online,C,09-11-2016,761970794,20-12-2016,2945,117.11,344888.95,260897.55,2016
640,Europe,Baby Food,Online,H,23-05-2017,243684327,30-05-2017,462,159.42,73652.04,44287.32,2017
641,Europe,Clothes,Offline,M,07-05-2012,152505099,19-05-2012,8503,35.84,304747.52,624460.32,2012
642,Middle East and North Africa,Cereal,Online,M,04-06-2012,724419438,16-07-2012,665,117.11,77878.15,58912.35,2012
643,Asia,Household,Offline,M,16-06-2010,465726172,06-07-2010,7579,502.54,3808750.66,1256067.67,2010
644,Europe,Baby Food,Online,L,24-06-2015,203036630,28-07-2015,1905,159.42,303695.1,182613.3,2015
645,Sub-Saharan Africa,Meat,Online,M,04-02-2011,833274638,13-02-2011,3337,364.69,1216970.53,190876.4,2011
646,Sub-Saharan Africa,Household,Offline,H,05-04-2012,173676526,10-05-2012,3598,502.54,1808138.92,596296.54,2012
647,Europe,Snacks,Offline,C,25-01-2016,611791121,03-03-2016,1443,97.44,140605.92,79567.02,2016
648,Sub-Saharan Africa,Cosmetics,Offline,C,04-02-2013,555479753,12-02-2013,7658,263.33,2016581.14,1331496.46,2013
649,Sub-Saharan Africa,Beverages,Offline,H,04-12-2013,282916247,29-12-2013,59,31.79,1875.61,923.94,2013
650,Australia and Oceania,Cereal,Online,C,20-01-2015,592586934,19-02-2015,8497,117.11,995083.67,752749.23,2015
651,Central America and the Caribbean,Clothes,Online,M,05-04-2010,553290641,07-04-2010,9851,35.84,353059.84,723457.44,2010
652,Asia,Clothes,Online,C,06-02-2017,654138696,16-03-2017,3031,35.84,108631.04,222596.64,2017
653,Europe,Cereal,Offline,C,22-07-2012,554554927,06-08-2012,3981,117.11,466214.91,352676.79,2012
654,Europe,Office Supplies,Offline,H,11-07-2012,434275662,13-08-2012,674,524.96,353823.04,85092.5,2012
655,Sub-Saharan Africa,Personal Care,Online,L,17-01-2015,543349730,07-02-2015,8115,56.67,459877.05,203361.9,2015
656,Sub-Saharan Africa,Baby Food,Offline,C,24-08-2011,752138459,22-09-2011,3339,159.42,532303.38,320076.54,2011
657,Sub-Saharan Africa,Vegetables,Online,L,07-11-2013,101315677,17-12-2013,415,90.93,37735.95,26198.95,2013
658,Asia,Cereal,Online,C,15-07-2011,851867711,17-07-2011,5441,117.11,637195.51,482018.19,2011
659,Europe,Personal Care,Offline,H,27-07-2014,835093390,29-07-2014,1547,56.67,87668.49,38767.82,2014
660,Asia,Cereal,Online,L,28-02-2011,202604043,10-04-2011,3893,117.11,455909.23,344880.87,2011
661,Europe,Beverages,Online,M,06-02-2017,976323497,10-02-2017,4674,31.79,148586.46,73194.84,2017
662,Sub-Saharan Africa,Cosmetics,Online,C,18-05-2011,298488080,03-07-2011,8111,263.33,2135869.63,1410259.57,2011
663,Sub-Saharan Africa,Beverages,Online,M,09-09-2015,781646621,12-09-2015,5460,31.79,173573.4,85503.6,2015
664,North America,Fruits,Online,M,09-12-2014,158660447,09-01-2015,7,6.92,48.44,16.87,2014
665,Europe,Beverages,Online,H,09-01-2014,732703387,28-01-2014,2069,31.79,65773.51,32400.54,2014
666,Sub-Saharan Africa,Beverages,Offline,H,04-05-2011,827261769,26-05-2011,3996,31.79,127032.84,62577.36,2011
667,Central America and the Caribbean,Beverages,Online,C,15-02-2010,636134421,20-03-2010,5166,31.79,164227.14,80899.56,2010
668,Europe,Household,Online,C,10-09-2014,873432672,17-09-2014,6992,502.54,3513759.68,1158784.16,2014
669,Europe,Clothes,Online,C,25-06-2011,523580348,04-08-2011,7915,35.84,283673.6,581277.6,2011
670,Central America and the Caribbean,Personal Care,Online,H,17-09-2010,891313779,25-10-2010,8409,56.67,476538.03,210729.54,2010
671,Asia,Clothes,Offline,M,25-04-2012,651681792,12-06-2012,5979,35.84,214287.36,439097.76,2012
672,Europe,Personal Care,Online,M,16-04-2017,800045716,14-05-2017,161,56.67,9123.87,4034.66,2017
673,Australia and Oceania,Office Supplies,Online,L,01-05-2016,602079379,26-05-2016,7523,524.96,3949274.08,949778.75,2016
674,Europe,Vegetables,Online,M,10-05-2016,743769109,11-05-2016,6662,90.93,605775.66,420572.06,2016
675,Sub-Saharan Africa,Household,Online,C,22-12-2013,181413733,27-12-2013,3210,502.54,1613153.4,531993.3,2013
676,Central America and the Caribbean,Fruits,Online,C,12-06-2014,191624581,01-08-2014,4827,6.92,33402.84,11633.07,2014
677,Middle East and North Africa,Fruits,Offline,L,22-09-2012,321325480,25-10-2012,6205,6.92,42938.6,14954.05,2012
678,Sub-Saharan Africa,Office Supplies,Online,H,01-06-2012,637752759,22-06-2012,4069,524.96,2136062.24,513711.25,2012
